Number,GPT4o,GPT3.5,Gemma27b,Meta-Llama,LOC
0,    92
1,      590
2,    21
3,    74
4,    203
5,     309
6,     323
7,      503
8,    198
9,    199
10,       1523
11,    135
12,    116
13,    33
14,      680
15,      483
16,     279
17,      670
18,     194
19,       3255
20,      394
21,     229
22,       1501
23,    32
24,    38
25,     281
26,      757
27,     267
28,     269
29,      601
30,    202
31,    ,43
32,      407
33,       1343
34,       1231
35,    111
36,    55
37,       1347
38,       1042
39,    59
40,    102
41,   19
42,    157
43,    85
44,      326
45,    20
46,    119
47,       985
48,     293
49,    67
50,      464
51,      407
52,    72
53,    19
54,      415
55,    126
56,    68
57,    128
58,       1348
59,    51
60,    21
61,    68
62,    203
63,    110
64,    148
65,       828
66,    164
67,      495
68,    219
69,      459
70,       1310
71,    49
72,    77
73,    64
74,     210
75,    56
76,    39
77,    37
78,    124
79,      627
80,    77
81,       1564
82,   57
83,    110
84,      575
85,    143
86,       1729
87,      327
88,       1166
89,     260
90,       988
91,    123
92,    46
93,      401
94,      439
95,     204
96,    237
97,    27
98,    122
99,    45
100,    181
101,       852
102,    35
103,      383
104,       1150
105,       2587
106,     266
107,      482
108,    91
109,    130
110,      318
111,       866
112,       1250
113,       1069
114,    100
115,     217
116,     295
117,       1003
118,      438
119,      545
120,       1023
121,    145
122,    155
123,       1137
124,     294
125,       1876
126,    77
127,    121
128,    119
129,      472
130,     323
131,     218
132,    82
133,    109
134,    76
135,    121
136,    119
137,       3311
138,    22
139,    93
140,       1274
141,     311
142,    87
143,      751
144,      435
145,      518
146,     213
147,       2294
148,       1094
149,       2315
150,    41
151,    90
152,    206
153,      389
154,      338
155,     293
156,       1044
157,    54
158,      509
159,    82
160,      510
161,      538
162,      485
163,    189
