file_name,overall_nodes,overall_edges,loop_nodes,loop_edges,branch_nodes,branch_edges
CPP_122.dot,11,17,0,0,7,14
CPP_80.dot,7,11,0,0,5,10
CPP_4.dot,13,20,0,0,7,14
CPP_91.dot,10,17,4,7,6,13
CPP_9.dot,21,28,12,16,8,16
CPP_72.dot,7,8,2,2,3,6
CPP_152.dot,21,30,11,15,8,18
CPP_42.dot,11,15,0,0,4,8
CPP_62.dot,21,27,12,16,8,16
CPP_114.dot,7,10,0,0,4,8
CPP_30.dot,22,27,12,16,8,16
CPP_63.dot,8,12,0,0,5,10
CPP_78.dot,4,5,0,0,2,4
CPP_82.dot,5,7,0,0,3,6
CPP_8.dot,11,17,0,0,7,14
CPP_56.dot,6,8,2,2,3,6
CPP_150.dot,3,4,0,0,2,4
CPP_40.dot,10,17,7,11,7,14
CPP_39.dot,6,8,4,6,3,6
CPP_133.dot,8,11,0,0,4,8
CPP_98.dot,9,12,9,12,3,6
CPP_76.dot,3,4,0,0,2,4
CPP_53.dot,3,2,0,0,0,0
CPP_138.dot,0,0,0,0,0,0
CPP_45.dot,0,0,0,0,0,0
CPP_2.dot,0,0,0,0,0,0
CPP_41.dot,0,0,0,0,0,0
CPP_35.dot,7,11,2,2,5,10
CPP_13.dot,3,3,0,0,1,2
CPP_92.dot,3,3,0,0,1,2
CPP_99.dot,0,0,0,0,0,0
CPP_11.dot,14,19,0,0,6,12
CPP_64.dot,16,20,4,6,5,17
CPP_108.dot,8,12,5,8,5,10
CPP_121.dot,8,12,0,0,5,10
CPP_134.dot,8,11,0,0,4,8
CPP_102.dot,6,6,0,0,1,2
CPP_97.dot,0,0,0,0,0,0
CPP_73.dot,3,4,0,0,2,4
CPP_24.dot,4,6,2,2,3,6
CPP_59.dot,0,0,0,0,0,0
CPP_60.dot,0,0,0,0,0,0
CPP_3.dot,7,10,2,2,4,8
CPP_132.dot,7,10,2,2,3,6
CPP_36.dot,5,8,3,5,4,8
CPP_142.dot,8,11,5,7,4,8
CPP_71.dot,3,3,0,0,1,2
CPP_100.dot,72,71,0,0,0,0
CPP_127.dot,10,12,2,2,3,6
CPP_52.dot,6,9,2,2,4,8
CPP_126.dot,7,10,0,0,4,8
CPP_12.dot,10,13,4,5,4,8
CPP_49.dot,7,11,0,0,5,10
CPP_109.dot,10,16,0,0,6,12
CPP_77.dot,3,3,0,0,1,2
CPP_96.dot,26,36,18,25,11,22
CPP_135.dot,7,11,0,0,5,10
CPP_75.dot,5,8,3,5,4,8
CPP_157.dot,5,7,0,0,3,6
CPP_136.dot,8,13,5,7,4,9
CPP_61.dot,6,5,0,0,0,0
CPP_159.dot,4,4,0,0,1,2
CPP_163.dot,16,20,12,16,6,12
CPP_68.dot,0,0,0,0,0,0
CPP_128.dot,8,11,0,0,4,8
CPP_57.dot,7,11,0,0,5,10
CPP_31.dot,5,7,0,0,3,6
CPP_83.dot,14,21,0,0,9,18
CPP_139.dot,7,11,0,0,5,10
CPP_0.dot,8,12,5,7,5,10
CPP_23.dot,0,0,0,0,0,0
CPP_151.dot,7,9,0,0,3,6
CPP_66.dot,11,17,0,0,7,14
CPP_43.dot,8,12,5,7,5,10
CPP_46.dot,8,12,0,0,5,10
CPP_85.dot,8,13,2,2,5,10
CPP_55.dot,8,13,0,0,6,12
