assert_statement,final_result,comment
"assert (file_name_check(""example.txt"") == ""Yes"");",unknown,error
"assert (file_name_check(""1example.dll"") == ""No"");",unknown,error
"assert (file_name_check(""s1sdf3.asd"") == ""No"");",unknown,error
"assert (file_name_check(""K.dll"") == ""Yes"");",unknown,error
"assert (file_name_check(""MY16FILE3.exe"") == ""Yes"");",unknown,error
"assert (file_name_check(""His12FILE94.exe"") == ""No"");",unknown,error
"assert (file_name_check(""_Y.txt"") == ""No"");",unknown,error
"assert (file_name_check(""?aREYA.exe"") == ""No"");",unknown,error
"assert (file_name_check(""/this_is_valid.dll"") == ""No"");",unknown,error
"assert (file_name_check(""this_is_valid.wow"") == ""No"");",unknown,error
"assert (file_name_check(""this_is_valid.txt"") == ""Yes"");",unknown,error
"assert (file_name_check(""this_is_valid.txtexe"") == ""No"");",unknown,error
"assert (file_name_check(""#this2_i4s_5valid.ten"") == ""No"");",unknown,error
"assert (file_name_check(""@this1_is6_valid.exe"") == ""No"");",unknown,error
"assert (file_name_check(""this_is_12valid.6exe4.txt"") == ""No"");",unknown,error
"assert (file_name_check(""all.exe.txt"") == ""No"");",unknown,error
"assert (file_name_check(""I563_No.exe"") == ""Yes"");",unknown,error
"assert (file_name_check(""Is3youfault.txt"") == ""Yes"");",unknown,error
"assert (file_name_check(""no_one#knows.dll"") == ""Yes"");",unknown,error
"assert (file_name_check(""1I563_Yes3.exe"") == ""No"");",unknown,error
"assert (file_name_check(""I563_Yes3.txtt"") == ""No"");",unknown,error
"assert (file_name_check(""final..txt"") == ""No"");",unknown,error
"assert (file_name_check(""final132"") == ""No"");",unknown,error
"assert (file_name_check(""_f4indsartal132."") == ""No"");",unknown,error
"assert (file_name_check("".txt"") == ""No"");",unknown,error
"assert (file_name_check(""s."") == ""No"");",unknown,error
