Test File,Golden File,Comparison Result,Incorrectness Score
CPP_0.dot,CPP_0.dot,Incorrect,22
CPP_1.dot,CPP_1.dot,File not found,N/A
CPP_2.dot,CPP_2.dot,Incorrect,6
CPP_3.dot,CPP_3.dot,Incorrect,16
CPP_4.dot,CPP_4.dot,Incorrect,38
CPP_5.dot,CPP_5.dot,File not found,N/A
CPP_6.dot,CPP_6.dot,File not found,N/A
CPP_7.dot,CPP_7.dot,File not found,N/A
CPP_8.dot,CPP_8.dot,Incorrect,28
CPP_9.dot,CPP_9.dot,Incorrect,47
CPP_10.dot,CPP_10.dot,File not found,N/A
CPP_11.dot,CPP_11.dot,Incorrect,33
CPP_12.dot,CPP_12.dot,Incorrect,18
CPP_13.dot,CPP_13.dot,File not found,N/A
CPP_14.dot,CPP_14.dot,File not found,N/A
CPP_15.dot,CPP_15.dot,File not found,N/A
CPP_16.dot,CPP_16.dot,File not found,N/A
CPP_17.dot,CPP_17.dot,File not found,N/A
CPP_18.dot,CPP_18.dot,File not found,N/A
CPP_19.dot,CPP_19.dot,File not found,N/A
CPP_20.dot,CPP_20.dot,File not found,N/A
CPP_21.dot,CPP_21.dot,File not found,N/A
CPP_22.dot,CPP_22.dot,File not found,N/A
CPP_23.dot,CPP_23.dot,Uncompleted,1
CPP_24.dot,CPP_24.dot,Incorrect,10
CPP_25.dot,CPP_25.dot,File not found,N/A
CPP_26.dot,CPP_26.dot,File not found,N/A
CPP_27.dot,CPP_27.dot,File not found,N/A
CPP_28.dot,CPP_28.dot,File not found,N/A
CPP_29.dot,CPP_29.dot,File not found,N/A
CPP_30.dot,CPP_30.dot,Incorrect,48
CPP_31.dot,CPP_31.dot,Incorrect,13
CPP_32.dot,CPP_32.dot,File not found,N/A
CPP_33.dot,CPP_33.dot,File not found,N/A
CPP_34.dot,CPP_34.dot,File not found,N/A
CPP_35.dot,CPP_35.dot,Incorrect,18
CPP_36.dot,CPP_36.dot,Incorrect,13
CPP_37.dot,CPP_37.dot,File not found,N/A
CPP_38.dot,CPP_38.dot,File not found,N/A
CPP_39.dot,CPP_39.dot,File not found,N/A
CPP_40.dot,CPP_40.dot,Incorrect,27
CPP_41.dot,CPP_41.dot,Uncompleted,1
CPP_42.dot,CPP_42.dot,Incorrect,14
CPP_43.dot,CPP_43.dot,Incorrect,24
