Index,GPT35,GPT4o,Gemma,Llama
CPP_0,0.9947332574063404,0.9947332574063404,0.956779533880692,0.9947332574063404
CPP_1,0.4264885149015199,0.801152339560267,N/A,N/A
CPP_2,0.8672426393042398,0.8769976053835402,0.9016437327924162,0.8963714117071417
CPP_3,0.7099622107528468,0.6797223557577243,0.6705064940590952,0.6629756273525526
CPP_4,0.9441587718457328,0.9473961985764308,0.6265985863388965,0.9471119316409966
CPP_5,0.6546805728740923,0.7639843633908381,N/A,N/A
CPP_6,0.43211490270743,0.6573991331669438,N/A,N/A
CPP_7,0.523147157064952,0.8297608966314161,N/A,N/A
CPP_8,0.644830460366643,0.7887832253164849,0.6381896688923658,0.9663854028812116
CPP_9,0.6570590410662529,0.9082041888355386,0.6441195887396791,0.9041061701796128
CPP_10,N/A,0.8642018913574708,N/A,N/A
CPP_11,0.448524543616798,0.6900081226487931,0.4404245738348563,0.6194309937057509
CPP_12,0.4700014268149256,0.799756617269031,0.4505033105922758,0.8778041791737701
CPP_13,0.4778341530176277,0.89905576232742,0.8485988285939206,0.8753025920012643
CPP_14,0.5487478911306105,0.7110188733655585,N/A,N/A
CPP_15,0.4885055116501837,0.5757439496114689,N/A,N/A
CPP_16,0.746361548847827,0.908028516221714,0.4838905818753268,N/A
CPP_17,0.4683682892047058,0.7905037409416062,N/A,N/A
CPP_18,0.4857837622988076,0.7771301509693712,0.4822065296894726,0.8519778538420859
CPP_19,N/A,0.5074436903413304,N/A,N/A
CPP_20,0.7510652939420657,0.871209385101902,N/A,N/A
CPP_21,0.7753554383379111,0.8410622033720434,0.6534356010980967,0.8780135137123198
CPP_22,N/A,0.8446156468879936,N/A,N/A
CPP_23,0.8416449789180175,0.8564753880764895,0.883927452726804,0.8227401630039446
CPP_24,0.770077302099897,0.8441772737623692,0.7870640484430551,0.7849104784091228
CPP_25,0.5269354913195411,0.6149820167031893,0.5147468076263194,N/A
CPP_26,0.6947073586359956,0.9021879544171484,N/A,N/A
CPP_27,0.4164021501874679,0.7757983434896287,N/A,N/A
CPP_28,0.4718879053454062,0.7216897831213518,N/A,N/A
CPP_29,0.4853558097796733,0.7575078729361603,N/A,N/A
CPP_30,0.5647041767281249,0.6427665925247354,0.5730660705479222,0.7411278394518772
CPP_31,0.5350208439402198,0.7689269882769396,0.7400870421694853,0.7678702979486306
CPP_32,0.799987427194507,0.8224474211557198,N/A,N/A
CPP_33,N/A,0.6793869488102438,N/A,N/A
CPP_34,N/A,0.6456782719692526,N/A,N/A
CPP_35,0.7449806345283569,0.7592587356147804,0.6364381099686365,0.7452123459953834
CPP_36,0.6619065321201621,0.8606534978581586,0.6849873025209711,0.6094971892145593
CPP_37,N/A,0.6465380446142811,N/A,N/A
CPP_38,N/A,0.7784513076794606,N/A,N/A
CPP_39,0.48730355891927,0.8717993542237984,0.8284760842938848,0.9006879720529589
CPP_40,0.678307959708635,0.71970616389689,0.6754153646952819,0.7358739838836728
CPP_41,0.5033640932665382,0.5303264945218932,0.5284595439341744,0.4854264389728149
CPP_42,0.5145636216909311,0.6895412877374228,0.5056640920266828,0.7502632975582739
CPP_43,0.6905551710422919,0.7048310839369549,0.6639075942697124,0.7202226103140903
CPP_44,0.3986966167719572,0.7297446242534822,N/A,N/A
CPP_45,0.4642418414218214,0.8319789519325879,0.806051823009601,0.8230957005978228
CPP_46,0.4805123340572805,0.8769476966074046,0.4663415755626065,0.842702646557627
CPP_47,N/A,0.6700605489383862,N/A,N/A
CPP_48,0.474058847806741,0.7715334014398876,N/A,N/A
CPP_49,0.4241273374348596,0.6071023588689928,0.6165498028327902,0.6226857867899062
CPP_50,0.428327673061727,0.8020574940348375,N/A,N/A
CPP_51,0.4178429324250313,0.6791344247572058,N/A,N/A
CPP_52,0.7482159732274769,0.7789541064962155,0.7630827698499034,0.7989606575007653
CPP_53,0.4791769651474952,0.7081819821851012,0.7031375157069434,0.7230264802487796
CPP_54,0.5201284529011794,0.7482165037131305,N/A,N/A
CPP_55,0.4823389459968435,0.7789554131935746,0.4635461611270168,0.5819871124146682
CPP_56,0.7531743747479444,0.8017273052227107,0.7469862447754531,0.811067421722899
CPP_57,0.75892814319405,0.7692474398984647,0.5908174251767229,0.7676351725418842
CPP_58,N/A,0.6524071077266583,N/A,N/A
CPP_59,0.7871593749209774,0.8416364862786658,0.8875401379661968,0.798332543070878
