file_name,nodes,edges,density,avg_clustering,degree_centrality,connected_components
CPP_97.dot,1,0,0.0,0.0,1.0,1
CPP_30.dot,40,30,0.038461538461538464,0.0,0.07692307692307693,10
CPP_138.dot,1,0,0.0,0.0,1.0,1
CPP_24.dot,10,6,0.13333333333333333,0.0,0.3333333333333333,4
CPP_2.dot,1,0,0.0,0.0,1.0,1
CPP_82.dot,11,7,0.12727272727272726,0.0,0.30000000000000004,4
CPP_23.dot,1,0,0.0,0.0,1.0,1
CPP_134.dot,20,13,0.06842105263157895,0.0,0.3157894736842105,7
CPP_41.dot,1,0,0.0,0.0,1.0,1
CPP_45.dot,1,0,0.0,0.0,1.0,1
CPP_60.dot,1,0,0.0,0.0,1.0,1
CPP_8.dot,26,17,0.052307692307692305,0.0,0.12,9
CPP_57.dot,18,11,0.0718954248366013,0.0,0.1764705882352941,7
CPP_53.dot,1,0,0.0,0.0,1.0,1
