assert_statement,final_result,comment
"assert (int_to_mini_romank(19) == ""xix"");",unknown,error
"assert (int_to_mini_romank(152) == ""clii"");",unknown,error
"assert (int_to_mini_romank(251) == ""ccli"");",unknown,error
"assert (int_to_mini_romank(426) == ""cdxxvi"");",unknown,error
"assert (int_to_mini_romank(500) == ""d"");",unknown,error
"assert (int_to_mini_romank(1) == ""i"");",unknown,error
"assert (int_to_mini_romank(4) == ""iv"");",unknown,error
"assert (int_to_mini_romank(43) == ""xliii"");",unknown,error
"assert (int_to_mini_romank(90) == ""xc"");",unknown,error
"assert (int_to_mini_romank(94) == ""xciv"");",unknown,error
"assert (int_to_mini_romank(532) == ""dxxxii"");",unknown,error
"assert (int_to_mini_romank(900) == ""cm"");",unknown,error
"assert (int_to_mini_romank(994) == ""cmxciv"");",unknown,error
"assert (int_to_mini_romank(1000) == ""m"");",unknown,error
