assert_statement,final_result,comment
"assert (get_closest_vowel(""yogurt"") == ""u"");",unknown,error
"assert (get_closest_vowel(""full"") == ""u"");",unknown,error
"assert (get_closest_vowel(""easy"") == """");",unknown,error
"assert (get_closest_vowel(""eAsy"") == """");",unknown,error
"assert (get_closest_vowel(""ali"") == """");",unknown,error
"assert (get_closest_vowel(""bad"") == ""a"");",unknown,error
"assert (get_closest_vowel(""most"") ==""o"");",unknown,error
"assert (get_closest_vowel(""ab"") == """");",unknown,error
"assert (get_closest_vowel(""ba"") == """");",unknown,error
"assert (get_closest_vowel(""quick"") == """");",unknown,error
"assert (get_closest_vowel(""anime"") == ""i"");",unknown,error
"assert (get_closest_vowel(""Asia"") == """");",unknown,error
"assert (get_closest_vowel(""Above"") == ""o"");",unknown,error
