assert_statement,final_result,comment
"assert (rounded_avg(1, 5) == ""11"");",unknown,error
"assert (rounded_avg(7, 13) == ""1010"");",unknown,error
"assert (rounded_avg(964,977) == ""1111001010"");",unknown,error
"assert (rounded_avg(996,997) == ""1111100100"");",unknown,error
"assert (rounded_avg(560,851) == ""1011000001"");",unknown,error
"assert (rounded_avg(185,546) == ""101101101"");",unknown,error
"assert (rounded_avg(362,496) == ""110101101"");",unknown,error
"assert (rounded_avg(350,902) == ""1001110010"");",unknown,error
"assert (rounded_avg(197,233) == ""11010111"");",unknown,error
"assert (rounded_avg(7, 5) == ""-1"");",unknown,error
"assert (rounded_avg(5, 1) == ""-1"");",unknown,error
"assert (rounded_avg(5, 5) == ""101"");",unknown,error
